,gene_ids,feature_types
SPAG11A,ENSG00000178287,Gene Expression
DEFB103A,ENSG00000176797,Gene Expression
DEFB4A,ENSG00000171711,Gene Expression
ZNF705B,ENSG00000215356,Gene Expression
FAM66E,ENSG00000225725,Gene Expression
USP17L8,ENSG00000237038,Gene Expression
USP17L3,ENSG00000225327,Gene Expression
FAM85B,ENSG00000253893,Gene Expression
AC068020.1,ENSG00000268955,Gene Expression
PRAG1,ENSG00000275342,Gene Expression
AC103957.1,ENSG00000253505,Gene Expression
AC103957.2,ENSG00000254153,Gene Expression
AC114550.2,ENSG00000253343,Gene Expression
AC114550.3,ENSG00000253774,Gene Expression
AC114550.1,ENSG00000253130,Gene Expression
CLDN23,ENSG00000253958,Gene Expression
AC087269.1,ENSG00000254367,Gene Expression
MFHAS1,ENSG00000147324,Gene Expression
ERI1,ENSG00000104626,Gene Expression
PPP1R3B,ENSG00000173281,Gene Expression
AC022784.7,ENSG00000254340,Gene Expression
AC022784.3,ENSG00000253426,Gene Expression
AC022784.8,ENSG00000279949,Gene Expression
AC022784.2,ENSG00000253252,Gene Expression
AC022784.1,ENSG00000248538,Gene Expression
AC022784.6,ENSG00000254235,Gene Expression
AC022784.4,ENSG00000253887,Gene Expression
AC021736.1,ENSG00000253735,Gene Expression
AC021242.2,ENSG00000254237,Gene Expression
AC021242.3,ENSG00000272267,Gene Expression
TNKS,ENSG00000173273,Gene Expression
LINC00599,ENSG00000253230,Gene Expression
AC034111.1,ENSG00000260093,Gene Expression
MSRA,ENSG00000175806,Gene Expression
AC104964.1,ENSG00000253641,Gene Expression
AC104964.2,ENSG00000253678,Gene Expression
PRSS51,ENSG00000253649,Gene Expression
AC104964.4,ENSG00000272505,Gene Expression
PRSS55,ENSG00000184647,Gene Expression
RP1L1,ENSG00000183638,Gene Expression
C8orf74,ENSG00000171060,Gene Expression
SOX7,ENSG00000171056,Gene Expression
PINX1,ENSG00000258724,Gene Expression
AC105001.1,ENSG00000248896,Gene Expression
PINX1-1,ENSG00000254093,Gene Expression
AC011008.1,ENSG00000253695,Gene Expression
XKR6,ENSG00000171044,Gene Expression
AF131215.3,ENSG00000254839,Gene Expression
AF131215.7,ENSG00000270076,Gene Expression
LINC00529,ENSG00000236827,Gene Expression
AF131216.4,ENSG00000280273,Gene Expression
MTMR9,ENSG00000104643,Gene Expression
AF131216.1,ENSG00000246477,Gene Expression
SLC35G5,ENSG00000177710,Gene Expression
AF131216.3,ENSG00000255020,Gene Expression
FAM167A-AS1,ENSG00000184608,Gene Expression
FAM167A,ENSG00000154319,Gene Expression
AF131216.5,ENSG00000284957,Gene Expression
BLK,ENSG00000136573,Gene Expression
AC022239.1,ENSG00000269954,Gene Expression
LINC00208,ENSG00000170983,Gene Expression
GATA4,ENSG00000136574,Gene Expression
C8orf49,ENSG00000255394,Gene Expression
NEIL2,ENSG00000154328,Gene Expression
FDFT1,ENSG00000079459,Gene Expression
AC069185.1,ENSG00000255046,Gene Expression
CTSB,ENSG00000164733,Gene Expression
DEFB136,ENSG00000205884,Gene Expression
DEFB135,ENSG00000205883,Gene Expression
DEFB134,ENSG00000205882,Gene Expression
DEFB130B,ENSG00000233050,Gene Expression
ZNF705D,ENSG00000215343,Gene Expression
FAM66D,ENSG00000255052,Gene Expression
USP17L7,ENSG00000226430,Gene Expression
USP17L2,ENSG00000223443,Gene Expression
FAM86B1,ENSG00000186523,Gene Expression
AC145124.1,ENSG00000255495,Gene Expression
DEFB130A,ENSG00000232948,Gene Expression
FAM66A,ENSG00000227888,Gene Expression
AC087203.3,ENSG00000270074,Gene Expression
FAM86B2,ENSG00000145002,Gene Expression
AC130352.1,ENSG00000270154,Gene Expression
LONRF1,ENSG00000154359,Gene Expression
AC123777.1,ENSG00000254813,Gene Expression
LINC00681,ENSG00000255494,Gene Expression
TRMT9B,ENSG00000250305,Gene Expression
DLC1,ENSG00000164741,Gene Expression
AC019270.1,ENSG00000253932,Gene Expression
C8orf48,ENSG00000164743,Gene Expression
AC022690.2,ENSG00000254753,Gene Expression
SGCZ,ENSG00000185053,Gene Expression
AC022039.1,ENSG00000254575,Gene Expression
TUSC3,ENSG00000104723,Gene Expression
AC018437.2,ENSG00000253648,Gene Expression
MSR1,ENSG00000038945,Gene Expression
AC011586.1,ENSG00000253184,Gene Expression
AC068992.1,ENSG00000253496,Gene Expression
FGF20,ENSG00000078579,Gene Expression
MICU3,ENSG00000155970,Gene Expression
AC079193.2,ENSG00000249258,Gene Expression
ZDHHC2,ENSG00000104219,Gene Expression
CNOT7,ENSG00000198791,Gene Expression
VPS37A,ENSG00000155975,Gene Expression
MTMR7,ENSG00000003987,Gene Expression
SLC7A2,ENSG00000003989,Gene Expression
PDGFRL,ENSG00000104213,Gene Expression
MTUS1,ENSG00000129422,Gene Expression
AC124069.1,ENSG00000253168,Gene Expression
AC027117.2,ENSG00000253944,Gene Expression
FGL1,ENSG00000104760,Gene Expression
AC087273.1,ENSG00000253215,Gene Expression
AC087273.2,ENSG00000254054,Gene Expression
PCM1,ENSG00000078674,Gene Expression
ASAH1,ENSG00000104763,Gene Expression
AC124242.1,ENSG00000245281,Gene Expression
NAT1,ENSG00000171428,Gene Expression
NAT2,ENSG00000156006,Gene Expression
PSD3,ENSG00000156011,Gene Expression
AC100800.1,ENSG00000187229,Gene Expression
AC009884.1,ENSG00000253335,Gene Expression
AC100849.1,ENSG00000253557,Gene Expression
AC100849.2,ENSG00000254242,Gene Expression
AC068880.3,ENSG00000254201,Gene Expression
AC068880.2,ENSG00000253280,Gene Expression
SH2D4A,ENSG00000104611,Gene Expression
CSGALNACT1,ENSG00000147408,Gene Expression
AC090541.1,ENSG00000253270,Gene Expression
INTS10,ENSG00000104613,Gene Expression
LPL,ENSG00000175445,Gene Expression
AC100802.1,ENSG00000253775,Gene Expression
SLC18A1,ENSG00000036565,Gene Expression
ATP6V1B2,ENSG00000147416,Gene Expression
LZTS1,ENSG00000061337,Gene Expression
LZTS1-AS1,ENSG00000253733,Gene Expression
AC023403.1,ENSG00000253164,Gene Expression
AC018541.1,ENSG00000253300,Gene Expression
AC015468.4,ENSG00000254260,Gene Expression
AC015468.3,ENSG00000254092,Gene Expression
AC015468.1,ENSG00000253147,Gene Expression
AC015468.2,ENSG00000254026,Gene Expression
LINC02153,ENSG00000253199,Gene Expression
AC103719.1,ENSG00000254040,Gene Expression
AC021355.1,ENSG00000254334,Gene Expression
GFRA2,ENSG00000168546,Gene Expression
DOK2,ENSG00000147443,Gene Expression
XPO7,ENSG00000130227,Gene Expression
NPM2,ENSG00000158806,Gene Expression
FGF17,ENSG00000158815,Gene Expression
DMTN,ENSG00000158856,Gene Expression
FAM160B2,ENSG00000158863,Gene Expression
NUDT18,ENSG00000275074,Gene Expression
HR,ENSG00000168453,Gene Expression
REEP4,ENSG00000168476,Gene Expression
LGI3,ENSG00000168481,Gene Expression
SFTPC,ENSG00000168484,Gene Expression
BMP1,ENSG00000168487,Gene Expression
PHYHIP,ENSG00000168490,Gene Expression
POLR3D,ENSG00000168495,Gene Expression
AC105206.2,ENSG00000254064,Gene Expression
PIWIL2,ENSG00000197181,Gene Expression
SLC39A14,ENSG00000104635,Gene Expression
PPP3CC,ENSG00000120910,Gene Expression
AC037459.2,ENSG00000251034,Gene Expression
SORBS3,ENSG00000120896,Gene Expression
AC037459.4,ENSG00000254230,Gene Expression
PDLIM2,ENSG00000120913,Gene Expression
AC037459.1,ENSG00000248235,Gene Expression
C8orf58,ENSG00000241852,Gene Expression
CCAR2,ENSG00000158941,Gene Expression
AC037459.3,ENSG00000253200,Gene Expression
BIN3,ENSG00000147439,Gene Expression
EGR3,ENSG00000179388,Gene Expression
PEBP4,ENSG00000134020,Gene Expression
AC037441.1,ENSG00000248738,Gene Expression
AC107959.1,ENSG00000245025,Gene Expression
RHOBTB2,ENSG00000008853,Gene Expression
TNFRSF10B,ENSG00000120889,Gene Expression
AC107959.2,ENSG00000246130,Gene Expression
AC107959.3,ENSG00000253616,Gene Expression
AC107959.4,ENSG00000284948,Gene Expression
AC107959.5,ENSG00000284956,Gene Expression
TNFRSF10C,ENSG00000173535,Gene Expression
TNFRSF10D,ENSG00000173530,Gene Expression
TNFRSF10A-AS1,ENSG00000253930,Gene Expression
TNFRSF10A,ENSG00000104689,Gene Expression
AC100861.2,ENSG00000250714,Gene Expression
CHMP7,ENSG00000147457,Gene Expression
R3HCC1,ENSG00000104679,Gene Expression
LOXL2,ENSG00000134013,Gene Expression
ENTPD4,ENSG00000197217,Gene Expression
AC104561.1,ENSG00000253390,Gene Expression
AC104561.3,ENSG00000253986,Gene Expression
SLC25A37,ENSG00000147454,Gene Expression
NKX3-1,ENSG00000167034,Gene Expression
NKX2-6,ENSG00000180053,Gene Expression
AC012574.1,ENSG00000253471,Gene Expression
AC012574.2,ENSG00000254002,Gene Expression
STC1,ENSG00000159167,Gene Expression
AC023202.1,ENSG00000253891,Gene Expression
ADAM28,ENSG00000042980,Gene Expression
AC120193.1,ENSG00000253535,Gene Expression
ADAMDEC1,ENSG00000134028,Gene Expression
ADAM7,ENSG00000069206,Gene Expression
AC024958.1,ENSG00000253643,Gene Expression
AF106564.1,ENSG00000272163,Gene Expression
NEFM,ENSG00000104722,Gene Expression
NEFL,ENSG00000277586,Gene Expression
AC107373.2,ENSG00000272157,Gene Expression
AC107373.1,ENSG00000253832,Gene Expression
DOCK5,ENSG00000147459,Gene Expression
GNRH1,ENSG00000147437,Gene Expression
AC091185.1,ENSG00000253476,Gene Expression
KCTD9,ENSG00000104756,Gene Expression
CDCA2,ENSG00000184661,Gene Expression
AC009623.1,ENSG00000253100,Gene Expression
AC009623.2,ENSG00000253342,Gene Expression
AC090103.1,ENSG00000254178,Gene Expression
EBF2,ENSG00000221818,Gene Expression
PPP2R2A,ENSG00000221914,Gene Expression
BNIP3L,ENSG00000104765,Gene Expression
PNMA2,ENSG00000240694,Gene Expression
DPYSL2,ENSG00000092964,Gene Expression
ADRA1A,ENSG00000120907,Gene Expression
AC090150.2,ENSG00000253903,Gene Expression
AC090150.1,ENSG00000253888,Gene Expression
STMN4,ENSG00000015592,Gene Expression
TRIM35,ENSG00000104228,Gene Expression
PTK2B,ENSG00000120899,Gene Expression
CHRNA2,ENSG00000120903,Gene Expression
EPHX2,ENSG00000120915,Gene Expression
CLU,ENSG00000120885,Gene Expression
SCARA3,ENSG00000168077,Gene Expression
CCDC25,ENSG00000147419,Gene Expression
AC013643.2,ENSG00000253875,Gene Expression
ESCO2,ENSG00000171320,Gene Expression
PBK,ENSG00000168078,Gene Expression
SCARA5,ENSG00000168079,Gene Expression
AC069113.2,ENSG00000253397,Gene Expression
NUGGC,ENSG00000189233,Gene Expression
ELP3,ENSG00000134014,Gene Expression
AC021678.2,ENSG00000253690,Gene Expression
PNOC,ENSG00000168081,Gene Expression
ZNF395,ENSG00000186918,Gene Expression
FBXO16,ENSG00000214050,Gene Expression
AC025871.1,ENSG00000253567,Gene Expression
FZD3,ENSG00000104290,Gene Expression
EXTL3,ENSG00000012232,Gene Expression
EXTL3-AS1,ENSG00000246339,Gene Expression
INTS9,ENSG00000104299,Gene Expression
INTS9-AS1,ENSG00000254034,Gene Expression
HMBOX1,ENSG00000147421,Gene Expression
KIF13B,ENSG00000197892,Gene Expression
AC108449.3,ENSG00000259607,Gene Expression
AC108449.1,ENSG00000254129,Gene Expression
DUSP4,ENSG00000120875,Gene Expression
AC084026.2,ENSG00000253632,Gene Expression
AC084026.1,ENSG00000253182,Gene Expression
LINC00589,ENSG00000251191,Gene Expression
LINC02099,ENSG00000253490,Gene Expression
AC131254.1,ENSG00000248964,Gene Expression
AC131254.3,ENSG00000254086,Gene Expression
AC131254.2,ENSG00000253604,Gene Expression
LINC02209,ENSG00000253279,Gene Expression
SARAF,ENSG00000133872,Gene Expression
AC044849.1,ENSG00000272256,Gene Expression
LEPROTL1,ENSG00000104660,Gene Expression
MBOAT4,ENSG00000177669,Gene Expression
AC026979.2,ENSG00000271869,Gene Expression
DCTN6,ENSG00000104671,Gene Expression
AC026979.1,ENSG00000253708,Gene Expression
AC026979.3,ENSG00000272375,Gene Expression
RBPMS-AS1,ENSG00000254109,Gene Expression
RBPMS,ENSG00000157110,Gene Expression
GTF2E2,ENSG00000197265,Gene Expression
AC102945.1,ENSG00000253112,Gene Expression
SMIM18,ENSG00000253457,Gene Expression
GSR,ENSG00000104687,Gene Expression
UBXN8,ENSG00000104691,Gene Expression
PPP2CB,ENSG00000104695,Gene Expression
TEX15,ENSG00000133863,Gene Expression
PURG,ENSG00000172733,Gene Expression
WRN,ENSG00000165392,Gene Expression
AC009563.1,ENSG00000253961,Gene Expression
AC068672.2,ENSG00000253377,Gene Expression
AC068672.1,ENSG00000253275,Gene Expression
NRG1,ENSG00000157168,Gene Expression
AC090204.1,ENSG00000247134,Gene Expression
AC067838.1,ENSG00000272338,Gene Expression
FUT10,ENSG00000172728,Gene Expression
TTI2,ENSG00000129696,Gene Expression
MAK16,ENSG00000198042,Gene Expression
RNF122,ENSG00000133874,Gene Expression
DUSP26,ENSG00000133878,Gene Expression
AF279873.3,ENSG00000253642,Gene Expression
AF279873.4,ENSG00000254194,Gene Expression
AC087855.2,ENSG00000254302,Gene Expression
AC090993.1,ENSG00000253108,Gene Expression
AC087855.1,ENSG00000254033,Gene Expression
LINC01288,ENSG00000254344,Gene Expression
UNC5D,ENSG00000156687,Gene Expression
AC100818.1,ENSG00000253452,Gene Expression
AC124290.1,ENSG00000253524,Gene Expression
AC090809.1,ENSG00000253363,Gene Expression
KCNU1,ENSG00000215262,Gene Expression
AC092818.1,ENSG00000254038,Gene Expression
AC091182.2,ENSG00000253746,Gene Expression
LINC01605,ENSG00000253161,Gene Expression
AC124067.1,ENSG00000253388,Gene Expression
AC124067.3,ENSG00000254111,Gene Expression
AC124067.4,ENSG00000254290,Gene Expression
AC137579.2,ENSG00000254306,Gene Expression
AC137579.1,ENSG00000253344,Gene Expression
ZNF703,ENSG00000183779,Gene Expression
AC138356.3,ENSG00000253181,Gene Expression
AC138356.1,ENSG00000183154,Gene Expression
ERLIN2,ENSG00000147475,Gene Expression
PLPBP,ENSG00000147471,Gene Expression
ADGRA2,ENSG00000020181,Gene Expression
BRF2,ENSG00000104221,Gene Expression
RAB11FIP1,ENSG00000156675,Gene Expression
GOT1L1,ENSG00000169154,Gene Expression
ADRB3,ENSG00000188778,Gene Expression
EIF4EBP1,ENSG00000187840,Gene Expression
AP006545.2,ENSG00000272128,Gene Expression
ASH2L,ENSG00000129691,Gene Expression
AC084024.1,ENSG00000240015,Gene Expression
STAR,ENSG00000147465,Gene Expression
AC084024.3,ENSG00000253356,Gene Expression
LSM1,ENSG00000175324,Gene Expression
BAG4,ENSG00000156735,Gene Expression
DDHD2,ENSG00000085788,Gene Expression
PLPP5,ENSG00000147535,Gene Expression
NSD3,ENSG00000147548,Gene Expression
AC087362.2,ENSG00000255487,Gene Expression
AC087362.1,ENSG00000254898,Gene Expression
AC087623.3,ENSG00000272092,Gene Expression
LETM2,ENSG00000165046,Gene Expression
AC087623.1,ENSG00000254981,Gene Expression
AC087623.4,ENSG00000272159,Gene Expression
FGFR1,ENSG00000077782,Gene Expression
AC087623.2,ENSG00000255201,Gene Expression
C8orf86,ENSG00000196166,Gene Expression
AC069120.1,ENSG00000253361,Gene Expression
AC016813.1,ENSG00000254321,Gene Expression
TACC1,ENSG00000147526,Gene Expression
AC067817.2,ENSG00000253829,Gene Expression
PLEKHA2,ENSG00000169499,Gene Expression
AC108863.1,ENSG00000253645,Gene Expression
HTRA4,ENSG00000169495,Gene Expression
TM2D2,ENSG00000169490,Gene Expression
ADAM9,ENSG00000168615,Gene Expression
ADAM32,ENSG00000197140,Gene Expression
ADAM18,ENSG00000168619,Gene Expression
ADAM2,ENSG00000104755,Gene Expression
IDO1,ENSG00000131203,Gene Expression
AC007991.3,ENSG00000253939,Gene Expression
AC007991.4,ENSG00000254287,Gene Expression
IDO2,ENSG00000188676,Gene Expression
AC087518.1,ENSG00000253381,Gene Expression
AC022733.1,ENSG00000253665,Gene Expression
TCIM,ENSG00000176907,Gene Expression
AC022733.2,ENSG00000254143,Gene Expression
AC105999.2,ENSG00000253802,Gene Expression
AC105999.1,ENSG00000253354,Gene Expression
AC010857.1,ENSG00000272479,Gene Expression
ZMAT4,ENSG00000165061,Gene Expression
AC048387.1,ENSG00000254383,Gene Expression
SFRP1,ENSG00000104332,Gene Expression
AC016868.1,ENSG00000253396,Gene Expression
GOLGA7,ENSG00000147533,Gene Expression
GINS4,ENSG00000147536,Gene Expression
AC009630.1,ENSG00000253133,Gene Expression
AC009630.2,ENSG00000253174,Gene Expression
GPAT4,ENSG00000158669,Gene Expression
AC009630.3,ENSG00000264578,Gene Expression
NKX6-3,ENSG00000165066,Gene Expression
ANK1,ENSG00000029534,Gene Expression
AC113133.1,ENSG00000253389,Gene Expression
AC027702.1,ENSG00000260588,Gene Expression
KAT6A,ENSG00000083168,Gene Expression
AC103724.4,ENSG00000271938,Gene Expression
AC103724.3,ENSG00000261449,Gene Expression
AP3M2,ENSG00000070718,Gene Expression
PLAT,ENSG00000104368,Gene Expression
AC083973.1,ENSG00000253408,Gene Expression
IKBKB,ENSG00000104365,Gene Expression
POLB,ENSG00000070501,Gene Expression
DKK4,ENSG00000104371,Gene Expression
VDAC3,ENSG00000078668,Gene Expression
SLC20A2,ENSG00000168575,Gene Expression
AC090739.1,ENSG00000254165,Gene Expression
SMIM19,ENSG00000176209,Gene Expression
CHRNB3,ENSG00000147432,Gene Expression
AC103843.1,ENSG00000255101,Gene Expression
CHRNA6,ENSG00000147434,Gene Expression
THAP1,ENSG00000131931,Gene Expression
RNF170,ENSG00000120925,Gene Expression
HOOK3,ENSG00000168172,Gene Expression
AC110275.1,ENSG00000254673,Gene Expression
FNTA,ENSG00000168522,Gene Expression
POMK,ENSG00000185900,Gene Expression
HGSNAT,ENSG00000165102,Gene Expression
LINC00293,ENSG00000253314,Gene Expression
AC091163.1,ENSG00000253745,Gene Expression
AC091163.2,ENSG00000253782,Gene Expression
AC120036.4,ENSG00000255366,Gene Expression
IGLV8OR8-1,ENSG00000215177,Gene Expression
SPIDR,ENSG00000164808,Gene Expression
CEBPD,ENSG00000221869,Gene Expression
PRKDC,ENSG00000253729,Gene Expression
MCM4,ENSG00000104738,Gene Expression
UBE2V2,ENSG00000169139,Gene Expression
AC026904.2,ENSG00000253140,Gene Expression
AC026904.3,ENSG00000253688,Gene Expression
AC022915.2,ENSG00000253608,Gene Expression
AC026904.1,ENSG00000233858,Gene Expression
AC026904.4,ENSG00000253702,Gene Expression
AC022915.1,ENSG00000253455,Gene Expression
AC022915.3,ENSG00000253892,Gene Expression
EFCAB1,ENSG00000034239,Gene Expression
SNAI2,ENSG00000019549,Gene Expression
PPDPFL,ENSG00000168333,Gene Expression
AC022568.1,ENSG00000253474,Gene Expression
AC090155.2,ENSG00000253380,Gene Expression
AC090155.1,ENSG00000253206,Gene Expression
AC113145.1,ENSG00000253484,Gene Expression
AC023762.1,ENSG00000271148,Gene Expression
SNTG1,ENSG00000147481,Gene Expression
AC012413.1,ENSG00000253664,Gene Expression
PXDNL,ENSG00000147485,Gene Expression
AC090186.1,ENSG00000272076,Gene Expression
PCMTD1,ENSG00000168300,Gene Expression
AC064807.1,ENSG00000228801,Gene Expression
AC064807.4,ENSG00000272024,Gene Expression
AC064807.2,ENSG00000253844,Gene Expression
AC064807.3,ENSG00000254136,Gene Expression
ST18,ENSG00000147488,Gene Expression
AC021915.2,ENSG00000254314,Gene Expression
AC021915.1,ENSG00000253551,Gene Expression
AC103831.1,ENSG00000253924,Gene Expression
ALKAL1,ENSG00000196711,Gene Expression
RB1CC1,ENSG00000023287,Gene Expression
NPBWR1,ENSG00000183729,Gene Expression
AC009646.2,ENSG00000254687,Gene Expression
OPRK1,ENSG00000082556,Gene Expression
AC131902.2,ENSG00000260484,Gene Expression
AC131902.1,ENSG00000253369,Gene Expression
AC022034.4,ENSG00000254204,Gene Expression
AC022034.2,ENSG00000237807,Gene Expression
ATP6V1H,ENSG00000047249,Gene Expression
RGS20,ENSG00000147509,Gene Expression
AC113194.1,ENSG00000272457,Gene Expression
TCEA1,ENSG00000187735,Gene Expression
AC100821.2,ENSG00000260955,Gene Expression
LYPLA1,ENSG00000120992,Gene Expression
MRPL15,ENSG00000137547,Gene Expression
SOX17,ENSG00000164736,Gene Expression
RP1,ENSG00000104237,Gene Expression
XKR4,ENSG00000206579,Gene Expression
AC022679.2,ENSG00000253976,Gene Expression
AC022679.1,ENSG00000253857,Gene Expression
AC090200.1,ENSG00000254357,Gene Expression
TMEM68,ENSG00000167904,Gene Expression
TGS1,ENSG00000137574,Gene Expression
LYN,ENSG00000254087,Gene Expression
RPS20,ENSG00000008988,Gene Expression
CERNA3,ENSG00000253603,Gene Expression
MOS,ENSG00000172680,Gene Expression
PLAG1,ENSG00000181690,Gene Expression
CHCHD7,ENSG00000170791,Gene Expression
AC107952.2,ENSG00000272343,Gene Expression
SDR16C5,ENSG00000170786,Gene Expression
PENK,ENSG00000181195,Gene Expression
AC012349.1,ENSG00000254254,Gene Expression
LINC00968,ENSG00000246430,Gene Expression
AC013644.1,ENSG00000253139,Gene Expression
AC009597.1,ENSG00000254055,Gene Expression
IMPAD1,ENSG00000104331,Gene Expression
LINC01606,ENSG00000253301,Gene Expression
AC025674.2,ENSG00000253614,Gene Expression
LINC00588,ENSG00000215117,Gene Expression
AC068075.1,ENSG00000253871,Gene Expression
AC090796.1,ENSG00000253821,Gene Expression
AC104051.1,ENSG00000253322,Gene Expression
AC104051.2,ENSG00000254139,Gene Expression
AC012103.1,ENSG00000253376,Gene Expression
LINC01602,ENSG00000205293,Gene Expression
FAM110B,ENSG00000169122,Gene Expression
AC104350.1,ENSG00000253523,Gene Expression
AC027698.1,ENSG00000253116,Gene Expression
UBXN2B,ENSG00000215114,Gene Expression
CYP7A1,ENSG00000167910,Gene Expression
SDCBP,ENSG00000137575,Gene Expression
NSMAF,ENSG00000035681,Gene Expression
TOX,ENSG00000198846,Gene Expression
AC090152.1,ENSG00000167912,Gene Expression
AC087664.1,ENSG00000253260,Gene Expression
AC087664.2,ENSG00000253879,Gene Expression
AC021393.1,ENSG00000254775,Gene Expression
CA8,ENSG00000178538,Gene Expression
LINC01301,ENSG00000251396,Gene Expression
RAB2A,ENSG00000104388,Gene Expression
AC068389.4,ENSG00000255321,Gene Expression
